Date,IBM,MMM,INTC,DIS,XOM,JPM,HD,GM,AAPL,NKE,MSFT,JNJ,VZ,PFE,MCD,WMT,MRK,UNH,CSCO,KO,TRV,GS,AXP,V,PG,BA,CAT,RTX,DOW,CVX,DJIA
1962-01-02,0.609973,null,null,0.035517,0.013649,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.0042,null,null,null,null,0.013336,0.145748,0.134703,null,null,0.05124,null
1962-01-03,0.615304,null,null,0.035994,0.013851,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.004106,null,null,null,null,0.01319,0.148663,0.136015,null,null,0.051125,null
1962-01-04,0.609173,null,null,0.035994,0.013885,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.004137,null,null,null,null,0.012971,0.147205,0.139513,null,null,0.050662,null
1962-01-05,0.597176,null,null,0.036113,0.013581,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.004044,null,null,null,null,0.01288,0.14429,0.140825,null,null,0.04939,null
1962-01-08,0.585979,null,null,0.035994,0.013547,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.004002,null,null,null,null,0.012534,0.144654,0.1417,null,null,0.049158,null
1962-01-09,0.59291,null,null,0.036709,0.013514,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.004075,null,null,null,null,0.012516,0.145019,0.143012,null,null,0.049852,null
1962-01-10,0.593977,null,null,0.037067,0.013446,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.004096,null,null,null,null,0.012552,0.145019,0.141263,null,null,0.049852,null
1962-01-11,0.600375,null,null,0.038139,0.013581,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.004137,null,null,null,null,0.012534,0.146476,0.14345,null,null,0.051125,null
1962-01-12,0.601441,null,null,0.036947,0.013784,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.004106,null,null,null,null,0.012607,0.150485,0.144324,null,null,0.051009,null
1962-01-15,0.604107,null,null,0.036947,0.013784,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.004064,null,null,null,null,0.012534,0.14757,0.143887,null,null,0.050199,null
1962-01-16,0.597709,null,null,0.035994,0.013682,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.003992,null,null,null,null,0.012589,0.146476,0.142567,null,null,0.050315,null
1962-01-17,0.588111,null,null,0.034802,0.013615,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.003867,null,null,null,null,0.01215,0.146841,0.142127,null,null,0.049968,null
1962-01-18,0.589711,null,null,0.035517,0.013649,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.003789,null,null,null,null,0.012205,0.14757,0.145207,null,null,0.050662,null
1962-01-19,0.590244,null,null,0.036232,0.01375,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.003909,null,null,null,null,0.012205,0.154492,0.147847,null,null,0.050431,null
1962-01-22,0.589178,null,null,0.036828,0.013784,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.00394,null,null,null,null,0.012223,0.154128,0.147407,null,null,0.050662,null
1962-01-23,0.583313,null,null,0.036709,0.013682,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.003857,null,null,null,null,0.012205,0.154492,0.144327,null,null,0.050315,null
1962-01-24,0.586512,null,null,0.036232,0.013682,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.003815,null,null,null,null,0.012095,0.155221,0.143447,null,null,0.050084,null
1962-01-25,0.580114,null,null,0.035756,0.013716,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.003784,null,null,null,null,0.01215,0.158865,0.144327,null,null,0.050199,null
1962-01-26,0.577181,null,null,0.035517,0.013784,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.003742,null,null,null,null,0.01204,0.158136,0.144327,null,null,0.050546,null
1962-01-29,0.567317,null,null,0.035517,0.013987,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.003742,null,null,null,null,0.012003,0.158865,0.145647,null,null,0.050199,null
1962-01-30,0.560119,null,null,0.035756,0.014122,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.003727,null,null,null,null,0.012003,0.160322,0.143447,null,null,0.050431,null
1962-01-31,0.577981,null,null,0.035756,0.014324,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.003877,null,null,null,null,0.012113,0.163602,0.144327,null,null,0.050547,null
1962-02-01,0.591311,null,null,0.036232,0.014595,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.003909,null,null,null,null,0.01215,0.159958,0.146967,null,null,0.051715,null
1962-02-02,0.595043,null,null,0.036232,0.014899,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.00395,null,null,null,null,0.012186,0.161415,0.146087,null,null,0.054166,null
1962-02-05,0.587578,null,null,0.036232,0.015034,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.00395,null,null,null,null,0.012113,0.159945,0.145647,null,null,0.053232,null
1962-02-06,0.588191,null,null,0.035994,0.014831,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.003898,null,null,null,null,0.012095,0.159945,0.146527,null,null,0.052765,null
1962-02-07,0.588725,null,null,0.036471,0.014961,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.003919,null,null,null,null,0.012095,0.159945,0.144767,null,null,0.053816,null
1962-02-08,0.589258,null,null,0.037424,0.014961,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.003929,null,null,null,null,0.012003,0.160312,0.144767,null,null,0.054049,null
1962-02-09,0.593524,null,null,0.037663,0.01479,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.00395,null,null,null,null,0.011949,0.163254,0.143007,null,null,0.054516,null
1962-02-12,0.594058,null,null,0.037663,0.014824,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.003919,null,null,null,null,0.011985,0.16068,0.143447,null,null,0.0551,null
1962-02-13,0.584459,null,null,0.037663,0.014722,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.003919,null,null,null,null,0.011949,0.161783,0.143007,null,null,0.054983,null
1962-02-14,0.583393,null,null,0.037186,0.014893,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.003846,null,null,null,null,0.011949,0.162886,0.141687,null,null,0.054867,null
1962-02-15,0.58126,null,null,0.037424,0.014927,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.003825,null,null,null,null,0.011985,0.163989,0.140807,null,null,0.0551,null
1962-02-16,0.580726,null,null,0.038139,0.014961,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.003825,null,null,null,null,0.01193,0.162151,0.141687,null,null,0.055567,null
1962-02-19,0.57486,null,null,0.037543,0.0152,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.003888,null,null,null,null,0.011857,0.161415,0.141687,null,null,0.055684,null
1962-02-20,0.575127,null,null,0.037901,0.015268,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.003867,null,null,null,null,0.011802,0.16068,0.141247,null,null,0.055684,null
1962-02-21,0.57086,null,null,0.037424,0.015029,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.003846,null,null,null,null,0.011711,0.158842,0.138167,null,null,0.055217,null
1962-02-23,0.572727,null,null,0.037186,0.015063,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.003805,null,null,null,null,0.011711,0.153694,0.138167,null,null,0.054983,null
1962-02-26,0.570594,null,null,0.036232,0.014961,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.003867,null,null,null,null,0.011656,0.154429,0.143447,null,null,0.054633,null
1962-02-27,0.57166,null,null,0.035994,0.015098,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.003888,null,null,null,null,0.011674,0.156268,0.142127,null,null,0.0551,null
1962-02-28,0.572727,null,null,0.035636,0.015132,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.003815,null,null,null,null,0.011638,0.157739,0.142127,null,null,0.054633,null
1962-03-01,0.579659,null,null,0.03659,0.015234,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.003794,null,null,null,null,0.011747,0.1559,0.142127,null,null,0.054867,null
1962-03-02,0.584459,null,null,0.036352,0.015098,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.003836,null,null,null,null,0.011656,0.154429,0.142567,null,null,0.054867,null
1962-03-05,0.582325,null,null,0.036471,0.015029,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.003784,null,null,null,null,0.011674,0.154062,0.142567,null,null,0.054867,null
1962-03-06,0.582859,null,null,0.035994,0.014995,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.003867,null,null,null,null,0.011711,0.148914,0.141687,null,null,0.0544,null
1962-03-07,0.584725,null,null,0.035756,0.014927,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.003815,null,null,null,null,0.011711,0.148546,0.139927,null,null,0.054283,null
1962-03-08,0.586059,null,null,0.036352,0.014688,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.003825,null,null,null,null,0.011857,0.151488,0.138607,null,null,0.054166,null
1962-03-09,0.589791,null,null,0.036232,0.01479,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.003784,null,null,null,null,0.011912,0.150752,0.138167,null,null,0.054166,null
1962-03-12,0.589258,null,null,0.036947,0.014688,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.003867,null,null,null,null,0.011967,0.151856,0.136407,null,null,0.054633,null
1962-03-13,0.588725,null,null,0.037641,0.014722,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.003929,null,null,null,null,0.01204,0.151488,0.137287,null,null,0.0544,null
1962-03-14,0.587658,null,null,0.037282,0.014824,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.003934,null,null,null,null,0.012278,0.151488,0.140367,null,null,0.054516,null
1962-03-15,0.586592,null,null,0.037521,0.015063,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.003913,null,null,null,null,0.012186,0.149282,0.139047,null,null,0.054867,null
1962-03-16,0.589258,null,null,0.037521,0.014995,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.003913,null,null,null,null,0.012132,0.148914,0.140367,null,null,0.055217,null
1962-03-19,0.590858,null,null,0.037521,0.015029,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.003934,null,null,null,null,0.012077,0.14634,0.140367,null,null,0.05545,null
1962-03-20,0.587125,null,null,0.037043,0.014858,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.003976,null,null,null,null,0.012095,0.145972,0.143447,null,null,0.055567,null
1962-03-21,0.587658,null,null,0.036446,0.014824,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.004028,null,null,null,null,0.012223,0.145972,0.139927,null,null,0.055333,null
1962-03-22,0.58126,null,null,0.036087,0.01479,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.00407,null,null,null,null,0.012479,0.148179,0.142127,null,null,0.054983,null
1962-03-23,0.583393,null,null,0.036087,0.014824,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.004143,null,null,null,null,0.012479,0.148179,0.142127,null,null,0.055333,null
1962-03-26,0.583125,null,null,0.035848,0.014824,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.004091,null,null,null,null,0.012186,0.147811,0.141247,null,null,0.054283,null
1962-03-27,0.572193,null,null,0.03537,0.014824,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.004059,null,null,null,null,0.012186,0.148914,0.141247,null,null,0.054516,null
1962-03-28,0.575393,null,null,0.035131,0.014961,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.004028,null,null,null,null,0.012443,0.149282,0.143887,null,null,0.054983,null
1962-03-29,0.573793,null,null,0.035729,0.014961,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.004038,null,null,null,null,0.012516,0.150017,0.142127,null,null,0.05475,null
1962-03-30,0.568194,null,null,0.035729,0.014927,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.003976,null,null,null,null,0.012552,0.147443,0.143887,null,null,0.054983,null
1962-04-02,0.560462,null,null,0.03537,0.014927,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.004028,null,null,null,null,0.012461,0.147811,0.141247,null,null,0.054516,null
1962-04-03,0.546597,null,null,0.035131,0.014722,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.003902,null,null,null,null,0.012296,0.144869,0.140807,null,null,0.054166,null
1962-04-04,0.544197,null,null,0.03537,0.014551,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.00395,null,null,null,null,0.01226,0.141192,0.141247,null,null,0.054166,null
1962-04-05,0.555662,null,null,0.035131,0.014619,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.003955,null,null,null,null,0.012479,0.142663,0.142567,null,null,0.054166,null
1962-04-06,0.555129,null,null,0.03549,0.014551,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.004018,null,null,null,null,0.012443,0.14156,0.142127,null,null,0.054983,null
1962-04-09,0.555662,null,null,0.035609,0.014278,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.004028,null,null,null,null,0.012351,0.138986,0.140367,null,null,0.05475,null
1962-04-10,0.557796,null,null,0.03549,0.014551,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.004028,null,null,null,null,0.012351,0.138251,0.141687,null,null,0.054867,null
1962-04-11,0.55033,null,null,0.035131,0.014551,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.003934,null,null,null,null,0.012406,0.142296,0.141247,null,null,0.054633,null
1962-04-12,0.544464,null,null,0.033458,0.01438,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.003861,null,null,null,null,0.012296,0.137883,0.139927,null,null,0.0544,null
1962-04-13,0.552463,null,null,0.033219,0.014551,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.003976,null,null,null,null,0.012278,0.14009,0.136407,null,null,0.0544,null
1962-04-16,0.551929,null,null,0.033697,0.014517,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.003986,null,null,null,null,0.012278,0.137883,0.13375,null,null,0.054166,null
1962-04-17,0.554596,null,null,0.034414,0.014722,null,null,null,null,null,null,0.000001,null,null,null,null,null,null,null,0.004007,null,null,null,null,0.012278,0.137516,0.135521,null,null,0.055567,null
